Quote,Conteo
For,1
once,1
maybe,1
someone,1
will,1
call,1
me,2
"""sir""",1
without,1
"adding,",1
"""You're",1
making,1
a,2
"scene.""",1
Nothing,1
you,1
say,1
can,1
upset,1
us.,1
We're,1
the,2
MTV,1
generation.,1
I,3
don't,2
want,1
to,4
sound,1
like,1
"killjoy,",1
but,1
becuase,1
this,1
is,1
not,1
my,1
taste,1
think,1
anyone,1
else,1
should,1
be,1
allowed,1
enjoy,1
it.,1
That's,1
where,1
saw,1
leprechaun...He,1
told,1
burn,1
things.,1
